ID;Código;Descrição;Unidade;NCM;Origem;Preço;Valor IPI fixo;Observações;Situação;Estoque;Preço de custo;Cód no fornecedor;Fornecedor;Localização;Estoque maximo;Estoque minimo;Peso líquido (Kg);Peso bruto (Kg);GTIN/EAN;GTIN/EAN da embalagem;Largura do Produto;Altura do Produto;Profundidade do produto;Data Validade;Descrição do Produto no Fornecedor;Descrição Complementar;Itens p/ caixa;Produto Variação;Tipo Produção;Classe de enquadramento do IPI;Código da lista de serviços;Tipo do item;Grupo de Tags/Tags;Tributos;Código Pai;Código Integração;Grupo de produtos;Marca;CEST;Volumes;Descrição Curta;Cross-Docking;URL Imagens Externas;Link Externo;Meses Garantia no Fornecedor;Clonar dados do pai;Condição do produto;Frete Grátis;Número FCI;Vídeo;Departamento;Unidade de medida;Preço de compra;Valor base ICMS ST para retenção;Valor ICMS ST para retenção;Valor ICMS próprio do substituto;Categoria do produto;Informações Adicionais;URL_Banner_Carrossel
16478990975;"AGF-21	";Brincos Argolas Fio em Semijoia - AGF-21;UN;71171900;0;10;0;;Ativo;50;3;"	AGF-21";;;100;10;0,01;0,01;7,892E+12;"	";1;1;1;; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ;1;Produto;Terceiros;;;Mercadoria para Revenda;Grupo:Brincos|Marca:Jú Folheados;12;;0;Brincos;Jú Folheados;2805800;1;Brincos Argolas Fio – Semijoia Folheada a Ouro 24k;1;https://live.staticflickr.com/65535/54549028137_3059d436a2_c.jpg;;12;NÃO;NOVO;NÃO;;;;Centímetro;3;0;0;0;Brincos>>Brincos Argolas Fio;Informações Adicionais do Produto NFE;
16478990981;"AGF-22	";Brincos Argolas Fio em Semijoia - AGF-22;UN;71171900;0;10;0;;Ativo;50;3;"	AGF-22";;;100;10;0,01;0,01;7,892E+12;"	";1;1;1;; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ;1;Produto;Terceiros;;;Mercadoria para Revenda;Grupo:Brincos|Marca:Jú Folheados;12;;0;Brincos;Jú Folheados;2805800;1;Brincos Argolas Fio – Semijoia Folheada a Ouro 24k;1;https://live.staticflickr.com/65535/54549906366_138540803f_c.jpg;;12;NÃO;NOVO;NÃO;;;;Centímetro;3;0;0;0;Brincos>>Brincos Argolas Fio;Informações Adicionais do Produto NFE;
16478990988;"AGF-23	";Brincos Argolas Fio em Semijoia - AGF-23;UN;71171900;0;10;0;;Ativo;50;3;"	AGF-23";;;100;10;0,01;0,01;7,892E+12;"	";1;1;1;; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ; Brincos Argolas Fio – Semijoia Folheada a Ouro 24k  ;1;Produto;Terceiros;;;Mercadoria para Revenda;Grupo:Brincos|Marca:Jú Folheados;12;;0;Brincos;Jú Folheados;2805800;1;Brincos Argolas Fio – Semijoia Folheada a Ouro 24k;1;https://live.staticflickr.com/65535/54549906531_235bea53a2_c.jpg;;12;NÃO;NOVO;NÃO;;;;Centímetro;3;0;0;0;Brincos>>Brincos Argolas Fio;Informações Adicionais do Produto NFE;
16478990288;"BAG-01	";Brincos Argolas em Semijoia - BAG-01;UN;71171900;0;10;0;;Ativo;44;5;"	BAG-01";;;100;10;0,01;0,01;7,892E+12;"	";1;1;1;; Brincos Argolas – Semijoia Folheada a Ouro 24k  ; Brincos Argolas – Semijoia Folheada a Ouro 24k  ;1;Produto;Terceiros;;;Mercadoria para Revenda;Grupo:Brincos|Marca:Jú Folheados;12;;0;Brincos;Jú Folheados;2805800;1;Brincos Argolas – Semijoia Folheada a Ouro 24k;1;https://live.staticflickr.com/65535/54550246090_82b53490d9_c.jpg;;12;NÃO;NOVO;NÃO;;;;Centímetro;5;0;0;0;Brincos>>Brincos Argolas;Informações Adicionais do Produto NFE;
16478990296;"BAG-02	";Brincos Argolas em Semijoia - BAG-02;UN;71171900;0;10;0;;Ativo;50;5;"	BAG-02";;;100;10;0,01;0,01;7,892E+12;"	";1;1;1;; Brincos Argolas – Semijoia Folheada a Ouro 24k  ; Brincos Argolas – Semijoia Folheada a Ouro 24k  ;1;Produto;Terceiros;;;Mercadoria para Revenda;Grupo:Brincos|Marca:Jú Folheados;12;;0;Brincos;Jú Folheados;2805800;1;Brincos Argolas – Semijoia Folheada a Ouro 24k;1;https://live.staticflickr.com/65535/54549028557_dcbd2b9c2e_c.jpg;;12;NÃO;NOVO;NÃO;;;;Centímetro;5;0;0;0;Brincos>>Brincos Argolas;Informações Adicionais do Produto NFE;
16478990302;"BAG-03	";Brincos Argolas em Semijoia - BAG-03;UN;71171900;0;10;0;;Ativo;50;5;"	BAG-03";;;100;10;0,01;0,01;7,892E+12;"	";1;1;1;; Brincos Argolas – Semijoia Folheada a Ouro 24k  ; Brincos Argolas – Semijoia Folheada a Ouro 24k  ;1;Produto;Terceiros;;;Mercadoria para Revenda;Grupo:Brincos|Marca:Jú Folheados;12;;0;Brincos;Jú Folheados;2805800;1;Brincos Argolas – Semijoia Folheada a Ouro 24k;1;https://live.staticflickr.com/65535/54550246350_9e9625f1b1_c.jpg;;12;NÃO;NOVO;NÃO;;;;Centímetro;5;0;0;0;Brincos>>Brincos Argolas;Informações Adicionais do Produto NFE;
16478990307;"BAG-04	";Brincos Argolas em Semijoia - BAG-04;UN;71171900;0;10;0;;Ativo;50;5;"	BAG-04";;;100;10;0,01;0,01;7,892E+12;"	";1;1;1;; Brincos Argolas – Semijoia Folheada a Ouro 24k  ; Brincos Argolas – Semijoia Folheada a Ouro 24k  ;1;Produto;Terceiros;;;Mercadoria para Revenda;Grupo:Brincos|Marca:Jú Folheados;12;;0;Brincos;Jú Folheados;2805800;1;Brincos Argolas – Semijoia Folheada a Ouro 24k;1;https://live.staticflickr.com/65535/54550246470_72c03b413b_c.jpg;;12;NÃO;NOVO;NÃO;;;;Centímetro;5;0;0;0;Brincos>>Brincos Argolas;Informações Adicionais do Produto NFE;
16478990314;"BAG-05	";Brincos Argolas em Semijoia - BAG-05;UN;71171900;0;10;0;;Ativo;50;5;"	BAG-05";;;100;10;0,01;0,01;7,892E+12;"	";1;1;1;; Brincos Argolas – Semijoia Folheada a Ouro 24k  ; Brincos Argolas – Semijoia Folheada a Ouro 24k  ;1;Produto;Terceiros;;;Mercadoria para Revenda;Grupo:Brincos|Marca:Jú Folheados;12;;0;Brincos;Jú Folheados;2805800;1;Brincos Argolas – Semijoia Folheada a Ouro 24k;1;https://live.staticflickr.com/65535/54550139613_b078ca680c_c.jpg;;12;NÃO;NOVO;NÃO;;;;Centímetro;5;0;0;0;Brincos>>Brincos Argolas;Informações Adicionais do Produto NFE;
16478990318;"BAG-06	";Brincos Argolas em Semijoia - BAG-06;UN;71171900;0;10;0;;Ativo;50;5;"	BAG-06";;;100;10;0,01;0,01;7,892E+12;"	";1;1;1;; Brincos Argolas – Semijoia Folheada a Ouro 24k  ; Brincos Argolas – Semijoia Folheada a Ouro 24k  ;1;Produto;Terceiros;;;Mercadoria para Revenda;Grupo:Brincos|Marca:Jú Folheados;12;;0;Brincos;Jú Folheados;2805800;1;Brincos Argolas – Semijoia Folheada a Ouro 24k;1;https://live.staticflickr.com/65535/54550087164_98fafd9a82_c.jpg;;12;NÃO;NOVO;NÃO;;;;Centímetro;5;0;0;0;Brincos>>Brincos Argolas;Informações Adicionais do Produto NFE;
16478990326;"BAG-07	";Brincos Argolas em Semijoia - BAG-07;UN;71171900;0;10;0;;Ativo;50;5;"	BAG-07";;;100;10;0,01;0,01;7,892E+12;"	";1;1;1;; Brincos Argolas – Semijoia Folheada a Ouro 24k  ; Brincos Argolas – Semijoia Folheada a Ouro 24k  ;1;Produto;Terceiros;;;Mercadoria para Revenda;Grupo:Brincos|Marca:Jú Folheados;12;;0;Brincos;Jú Folheados;2805800;1;Brincos Argolas – Semijoia Folheada a Ouro 24k;1;https://live.staticflickr.com/65535/54550139823_2b380357b5_c.jpg;;12;NÃO;NOVO;NÃO;;;;Centímetro;5;0;0;0;Brincos>>Brincos Argolas;Informações Adicionais do Produto NFE;
